audio_path,Inference_result
st_set3_collectorgs237_speakergs3725_4_9.wav,예냥누물작문무주예늘물겄물영예야마도소예냥마더무비오늘마겄싣은갱마떠냉마나작은랍고날지누나마너오물살맏맛위랍위키코늘뻔받깐끌멈몰바제더위젼위옷렸상주세정주떡냥작떡쩌지아위지맛답뭐빨세바둔더돌고근오냥늘캐작싣깐워잉걸그작키지냥터깔몰키미록주불돌등상냥마꺼물주짱작짱냥턱쓰어키았상냥제언제깐문월될짐양당야위죠키렸미짜늘엣갱
st_set3_collectorgs233_speakergs11439_0_7.wav,냥물꺼양될주양될당은비할될지별냥해당냉양방돌짜냥짜작베한작냥작댕엣믹미상늘달꺼달빼냥뻔차요는잉상냉꺼작로상작상작퍼궈담키미책누장태몬 우몰당계큰위디장정에작줄념또디작몰런랑론고렇땡런고독겨제야당제딴당작그옇렇죽빌비워상별세겄댕겄갈관할똑저.약있걸될심문념장냉꺼시런영꽁줄무렸었주도나양목
st_set3_collectorgs233_speakergs11630_0_8.wav,냥누물은을문양문음양장당양냥물쎄당냉양짐해작칸로할답청상머댕집걸세늘장차뭐제상냉꺼작상작밥작퍼터맛스담못고누몬있문됐답디쌍영둔을에도작소무방근원디모몰런실렇주렇붙렇빼렇차땡맛빼들너그랜원따런랍날인뿌안나터해않실좋봤답세누나말당있제동딴잡엮근오원디썬언몰짓랐상냥렇주고옛고음상별장르꺼따뜰따로레프무잡밥깐양문상랜걸있원있렵퍼냉품딸상렇나태
st_set3_collectorgs233_speakergs4414_104_9.wav,무누물온주냉마당레걸에딸늘레헛마은마답우을이러작러은날키늘누시누모몰무봤풀빔원누늘입놀실얼엉키꺼몰런할키디꺼야세저를들양입릴작품렇럿콤밥터먼키렇주렇키렇냥꺼터몰않는기답벨꺼양른빼그밥갈꽁그냥주렇주런기냥나꺼상런러그밥작기런푸냥주실주나꺼겄레벨레초는은근키날히나바는씁돌할속상빈.릴상낭머썬떼퍼념상엣믈세양랜될세쎄있기상소예똑무냉칠터잡젼엣터엣작젼소엣스태물
st_set3_collectorgs233_speakergs4414_105_9.wav,콘물온당문키디태말제를에를실답무주무요답호늘차물과원살차집큰평에쫌밥제몰에문들너벨냥큰있맛상원콤더따런주고상장꺼레렵념별무마밥작칠많레문디믈시타들얹호물쎄당말방오될월디태작터런주터주냥꺼겄터향작렇벨밥더밤상돌밤꺼작은걸근머밥작레합번줄찬렇해는작찬줄월해바싣너랜장작꺼받날천안해몰놀잡할방꺼몰를레렇랜렇원쌍상냉딸몰문주머걸소오원터물임념렇나머깐
st_set3_collectorgs233_speakergs4414_106_6.wav,물양런스그칸런소줘줄프머추큰냥안달는따용호원물싣 원상콤할큰레걸방디인작따퍼런맛엣냥렇터담고댄엣쌍턴약있실날키날냉씨집놀는놀돌속줄상냉작안칠큰념고냥린는싣깐걸딴작위걸주디늘정당떡걸워시양도돌근늘차제당레양잉계당념방근더작타안상안물말하월안차당작실답지영걸늘순상안마못낭물풀잡세양풀세낭몰실오무걸렇오도물집
st_set3_collectorgs233_speakergs4414_107_8.wav,별늘물따줄월믄마답냉작답월머시모약채약댕큰돌프랜름차당영상돌랜빠니꺼는 양랫끼꺼작은러냥주고장늘꺼카당야워벨큰식벨몇시몰른꽁러작무주늘장꺼떡상주안주큰문임걸놨박바놨냉양납요담문기상빠는거 니례꺼터상냥작원예머밥작터옛주터주누냥꺼뭐터니할문벨별린담거에늘잔록소거상렇잡키딸꼭린거뭐거실런그죠인걸오주뭐물
st_set3_collectorgs233_speakergs4414_108_11.wav,냥물르물정줄냥발정 양벨냉에는짐프베맛프누는칠상안머안클추집큰당집걸똑원운양념갖래떼뭐실주차영주대작벨프답프바차바는검까오똑꺼온싣헛은작은맛냥주런옛날냥나정런 디벨꺼짜강잘런베짐머나밥돌상낭누장밥작방상영터벼울담냥주담상렇꺼턴타기영터밥디몰소냥터담위청냥마레러벨디밥작소먼키겨냥주바담뭐담꺼쌍꺼턴싣둔디큰기지히해시몰는레씁상똑계꽈레록렇상머받거응큰르세똑렸세린참양렇될렇디요몰렵소상냉엣죠울인걸렇스태물
st_set3_collectorgs233_speakergs4414_109_10.wav,냥물양밥온양에작에은걸붙맛바맛고늘꺼빼런빼입과큰방키쫌몰푸상맞빠맞려빼상방콤밥주렇주렇밥키울날냉냥꺼정레에야 상계렇계헛방상짐할상잡는념누는인엣잡마엣약양물간문념근디태제주작렵랑딴주터실터주장뻔목물뜩헛일월큰제먼위소냥야둔양상냥칸밥상누냥마는헛은쌍안밥걸밥삼밥꽈렇냉작느퍼러냥요돌냥터런상냥누꺼작춰런빼러줄낭양려따랑글근렸디낭제몰제몰더쌍될었작꽁영어무걸오주나어런
st_set3_collectorgs237_speakergs3725_0_8.wav,냥물꺼물 물빼냥당는동딴당방우냉장올해물 방냥냉디해영칸로줄누쓰답물댕미냥나꺼영위물코물장물당비방냥스작로끌할답상빼씀작퍼키날냉스태퍼몬깐쳐르문답위멈세늘집때양에돌근늘콤서런퍼실줄답야품춰실쳐답겠야식들제양돌랏빌돌미원꺼갈식랐방았상별냉꺼작거월작로냥꺼밥작똑념고냥양있몰문러끗벳추심추될렸염쯤꺼런꽁영념렸별야냥나어목
st_set3_collectorgs237_speakergs3725_100_9.wav,냥물양물딸미딸늘몇집정른야몰에양에스몰에번지소날고근냥시런영딴따할 냥해마싣렇작은상누야일저일문물짐물따그납작슨돌옷그무슨빨풀똑누밥따퍼슨꺼안렸밥냥밥세몰들양방그냥원겄따겄방벗원랜스겄레뼈그원에인언쓰은옷방근누세워뿌큰씨글소늘차까쓰무걸쓰바울걸댕별냥목영물방뿌해답망태턴둔키맹누세쌍겁럿그럿잔은답세꺼떼짜똑냥딸따건베그무렸렇야염스고록
st_set3_collectorgs237_speakergs3725_101_8.wav,부늘나빼작줄베답냉누마싣없오디장헛맏걸에걸오디쌍때물에돌날돌날냉시냉 상땁냥저장양며양건워쓰키미못자냥장태염양당념키미별미물는랫거과끌상방상안태따과오태잔태밥잔과젼인렸상세떼모떼인셔돌그작떡 아뿌냥인셔양냥양디얹합뿌품지늘몰랫그옷오늘차스위평퍼평끌평날늘정어문아답상물합뿌누랫주당양렇그럭별렇깨
st_set3_collectorgs237_speakergs3725_102_8.wav,콘물따주줄주당른비할무걸근낭누장정당줄워무붙지래장늘정몰런에러작엣무바주붙예주누늘꺼정낼주정둔뿌걸늘터몰에글소러방갖원늘차따비방냥차작아냥쓰작쓰키어키꺼어차어과오누마어당따에워위예늘당정할무고렸망몇늘추정모실긴뿌세엣랫떼옷물늘물렸몰를슨과물양무소스나물
st_set3_collectorgs237_speakergs3725_103_8.wav,냥물양에엣무클붙위미근누늘정받에합날월세싣봤를에잔물은답물냥늘마메몰따럼아옷근늘마추차작물밥합쓰맛옛바날냥세둔물락냥그납동는너날냥마더마깐은딱은랑오추붙미돌냥늘꺼정작을거몰오턱말몰따에돌과근늘세시몰런몰과오짜늘가빼레셔돌똑관작건쓰어못근냉어나어을까과들그똑그밥거당트져렸져낭누몰떼터더엣더었소업쪼머밥
st_set3_collectorgs237_speakergs3725_104_8.wav,예물온더당양렸양냉쪼양달쩌일에냥에스차달걱에둔지위늘스물른모답랑무터랫둔소과위지늘콤칠따실고별누추정글답망물야때꺼를양답양스작비물과꿈미스누스몰실과민벨냥팔꺼몰따갈그따몰꽁퍼고래디엣꺼김쇼레떡건둔프그더트빨근냥밥더워호꺼납더은쓰은날고냥누시둔돌무돌상냥더작빼렵걸근걸코프도늘랬넣과양랜키렸래냥장세려오뿌그꺼큰영똑별세올싣상보밥따념렸호엣스태깨
st_set3_collectorgs237_speakergs3725_105_10.wav,예물온 답누턱답는제냉에줄옷호누잤일딱양간엿키누차추모앗둔큰고늘냥장정모롬할딴할딴미상디받키상냥스겄따그키미주냥꺼작빼러받러키밥칠몰싣선옷젼책태물들그냥당요당위방답똑늘씨차납위날렸똑늘냥늘제차꺼제갈마은걸월랏은걸미근냥늘태더트쓰고답냥몰밥껌빼워걸뿌월꺼나답과옷렸별장꺼언방꺼제답에입작은방상세답꺼둔런잔인과상냥세엣물제실옇답딴랜세몰더그랜엣념소오나머모록
